OID,lon,lat,FuelClass,class_id,split,source,role,NZTM_X,NZTM_Y,array_col,array_row,pre_B2,pre_B3,pre_B4,pre_B5,pre_B6,pre_B7,post_B2,post_B3,post_B4,post_B5,post_B6,post_B7,NBR_pre,NBR_post,dNBR,NDVI,NDMI,BSI,severity,dnbr_data,pre_source,grid_row,grid_col,elev,slope,northness,ephemeral_refugia,pre_analysis_valid,inside_aoi,clean_pre_mask,post_neg_refl,status,dist_to_main_m,ndvi_sd3,use_A3
153,172.623719,-43.619322,broadleaf_scrub,4,train,main,4-class · CORE model (main 176),1569639.77721554,5170338.037081031,135,132,0.027287499979138374,0.056382499635219574,0.04156000167131424,0.4302450120449066,0.1383875012397766,0.06845500320196152,0.04222000017762184,0.06243250146508217,0.06270749866962433,0.2328224927186966,0.14726999402046204,0.1136924996972084,0.7254661917686462,0.34379464387893677,298.0296325683594,0.8238255381584167,0.5132620930671692,-0.43544110655784607,2.0,1.0,2.0,-172344.5,52321.5,336.0,15.829546928405762,0.9778267741203308,0.0,1.0,1.0,1.0,0.0,core,,0.018412482,True
155,172.610512,-43.628113,broadleaf_scrub,4,train,main,4-class · CORE model (main 176),1568578.7489964792,5169356.790882257,99,165,0.033969998359680176,0.06809750199317932,0.0622125007212162,0.3663899898529053,0.14883750677108765,0.07785999774932861,0.02538999915122986,0.03526249900460243,0.03325499966740608,0.06087874993681908,0.11495749652385712,0.13552750647068024,0.6494766473770142,-0.3800731897354126,945.9078979492188,0.7096960544586182,0.42224550247192383,-0.30962857604026794,3.0,1.0,2.0,-172311.5,52285.5,204.0,17.589689254760742,0.9980812072753906,0.0,1.0,1.0,1.0,0.0,core,,0.047371063,True
159,172.624851,-43.629495,broadleaf_scrub,4,train,main,4-class · CORE model (main 176),1569736.2165484359,5169208.6309067905,138,170,0.016699999570846558,0.039799999445676804,0.022447500377893448,0.3018200099468231,0.09416750073432922,0.03826000168919563,0.017497500404715538,0.043209999799728394,0.027535000815987587,0.2847149968147278,0.0899600014090538,0.0428524985909462,0.7749941349029541,0.738359272480011,-47.00708770751953,0.8615494966506958,0.5243915319442749,-0.46400541067123413,0.0,1.0,2.0,-172306.5,52324.5,428.0,18.485776901245117,0.11457675695419312,0.0,1.0,1.0,1.0,0.0,core,,0.020198843,True
164,172.593292,-43.608411,broadleaf_scrub,4,train,main,4-class · CORE model (main 176),1567178.8400173741,5171538.244699599,53,92,0.03960749879479408,0.0655675008893013,0.07236000150442123,0.2016099989414215,0.15970000624656677,0.09843000024557114,0.04282499849796295,0.04534124955534935,0.04711500182747841,0.09341125190258026,0.10970500111579895,0.10698249936103821,0.34388747811317444,-0.06772292405366898,327.9684753417969,0.47176697850227356,0.11599457263946533,-0.0193491131067276,2.0,1.0,2.0,-172384.5,52239.5,75.0,13.995089530944824,-0.8057891726493835,0.0,1.0,1.0,1.0,0.0,core,,0.028119555,True
166,172.62099,-43.623805,broadleaf_scrub,4,train,main,4-class · CORE model (main 176),1569421.8599476838,5169839.1514865495,128,149,0.022144999355077744,0.047554999589920044,0.03405249863862991,0.28936249017715454,0.09645000100135803,0.04664750024676323,0.02123750001192093,0.04389749839901924,0.03421749919652939,0.22707499563694,0.08885999768972397,0.04859999939799309,0.7223445773124695,0.6474109292030334,-8.708266258239746,0.7894191741943359,0.5000162124633789,-0.40950432419776917,0.0,1.0,2.0,-172327.5,52314.5,430.0,17.211503982543945,-0.8883450031280518,0.0,1.0,1.0,1.0,0.0,core,,0.058953088,True
167,172.61849,-43.628965,broadleaf_scrub,4,train,main,4-class · CORE model (main 176),1569222.79515782,5169265.155076743,121,168,0.016644999384880066,0.041064999997615814,0.02572000026702881,0.33759748935699463,0.09243500232696533,0.040377501398324966,0.01414250023663044,0.03432749956846237,0.022337500005960464,0.2700299918651581,0.07832749933004379,0.03726999834179878,0.786348283290863,0.7574357390403748,-54.729366302490234,0.8584158420562744,0.5701022744178772,-0.49976450204849243,0.0,1.0,2.0,-172308.5,52307.5,281.0,15.299775123596191,-0.9256648421287537,0.0,1.0,1.0,1.0,0.0,core,,0.008414873,True
169,172.616772,-43.611071,broadleaf_scrub,4,train,main,4-class · CORE model (main 176),1569075.030261064,5171251.833606741,116,101,0.052560001611709595,0.08729249984025955,0.09292999655008316,0.37626248598098755,0.2267725020647049,0.12224499881267548,0.06202000007033348,0.09438750147819519,0.09983249753713608,0.17773999273777008,0.1715250015258789,0.1464724987745285,0.509555995464325,0.09644138067960739,329.47271728515625,0.6038725972175598,0.24789606034755707,-0.1457800269126892,2.0,1.0,2.0,-172375.5,52302.5,148.0,30.586856842041016,0.7882910370826721,0.0,1.0,1.0,1.0,0.0,core,,0.07042284,True
170,172.612652,-43.629428,broadleaf_scrub,4,train,main,4-class · CORE model (main 176),1568752.0710730432,5169211.553620346,105,169,0.02283249981701374,0.05011250078678131,0.03666500002145767,0.3442249894142151,0.1167450025677681,0.055640000849962234,0.04300374910235405,0.061799999326467514,0.07153499871492386,0.11043374985456467,0.17239125072956085,0.18772250413894653,0.7217060923576355,-0.2592222988605499,897.2864379882812,0.8074772357940674,0.4934811294078827,-0.4104915261268616,3.0,1.0,2.0,-172307.5,52291.5,233.0,23.108829498291016,0.860775887966156,0.0,1.0,1.0,1.0,0.0,core,,0.051528882,True
171,172.612481,-43.625217,broadleaf_scrub,4,train,main,4-class · CORE model (main 176),1568736.0937671035,5169679.165663502,105,154,0.020989999175071716,0.047142498195171356,0.035317499190568924,0.32288500666618347,0.10255499929189682,0.05277999863028526,0.03245750069618225,0.04074874892830849,0.04109250009059906,0.07153499871492386,0.0876225009560585,0.08423999696969986,0.7190049886703491,-0.08155994117259979,716.9229736328125,0.802807092666626,0.5178873538970947,-0.42761507630348206,3.0,1.0,2.0,-172322.5,52291.5,296.0,21.30495262145996,-0.775559663772583,0.0,1.0,1.0,1.0,0.0,core,,0.028140025,True
174,172.614742,-43.630136,broadleaf_scrub,4,train,main,4-class · CORE model (main 176),1568921.039369846,5169133.707018087,111,172,0.02255750074982643,0.05266999825835228,0.03405249863862991,0.44314250349998474,0.12394999712705612,0.05385249853134155,0.04945249855518341,0.05649250000715256,0.06284499913454056,0.08913499861955643,0.1288450062274933,0.15026749670505524,0.7832875847816467,-0.25535446405410767,955.0001220703125,0.8572805523872375,0.5628579258918762,-0.4933401644229889,3.0,1.0,2.0,-172304.5,52297.5,254.0,19.036394119262695,0.9969975352287292,0.0,1.0,1.0,1.0,0.0,core,,0.016446218,True
