cluster,count,pre_B2,pre_B3,pre_B4,pre_B5,pre_B6,pre_B7,NDVI,BSI
0,7776,0.0578,0.0929,0.1087,0.3366,0.2653,0.1555,0.5075,-0.0259
1,9377,0.0342,0.0592,0.0596,0.2764,0.1686,0.0925,0.6400,-0.1516
2,9583,0.0157,0.0299,0.0205,0.2418,0.0861,0.0387,0.8446,-0.4210
3,11355,0.0413,0.0753,0.0743,0.3848,0.2205,0.1155,0.6735,-0.1811
4,700,0.0926,0.1249,0.1271,0.1431,0.0554,0.0315,0.0425,-0.1351
5,9417,0.0248,0.0530,0.0365,0.4067,0.1527,0.0675,0.8321,-0.3888
