cluster,count,pre_B2,pre_B3,pre_B4,pre_B5,pre_B6,pre_B7,NDVI,BSI
0,17892,0.0381,0.0680,0.0677,0.3351,0.1968,0.1051,0.6562,-0.1655
1,10284,0.0163,0.0309,0.0218,0.2423,0.0887,0.0404,0.8363,-0.4091
2,9196,0.0561,0.0913,0.1056,0.3435,0.2628,0.1522,0.5247,-0.0396
3,10121,0.0253,0.0534,0.0375,0.4028,0.1539,0.0688,0.8257,-0.3796
4,715,0.0931,0.1254,0.1276,0.1451,0.0590,0.0345,0.0464,-0.1319
