class,var,mean_abs_shap,direction_rho
pasture,pre_B2,0.01892138718448703,0.5980473685954535
pasture,pre_B3,0.0136519347001565,0.7487826068195583
pasture,pre_B4,0.041188494994195746,0.7194975391164231
pasture,pre_B5,0.010376253927307169,-0.02049226065264232
pasture,pre_B6,0.01511639597915315,0.790968621413944
pasture,pre_B7,0.019334339355697783,0.7434150368779345
pasture,NDVI,0.023608931517634532,-0.8723810209518325
pasture,NDMI,0.024958674190691848,-0.8184078527371783
pasture,BSI,0.02252438190541934,0.8659130726954186
pasture,NBR_pre,0.02675245596541441,-0.8152758777929777
pasture,elev,0.00353288827016718,0.4751457726581606
pasture,slope,0.031395505922681276,-0.8290109679122568
pasture,northness,0.0026955456624417925,-0.25089639282885745
pasture,spr_B2,0.01039174447515748,0.7740700652098642
pasture,spr_B3,0.01516183427707766,0.9093814162070245
pasture,spr_B4,0.011168631996435554,0.6344756662518971
pasture,spr_B5,0.017101255791369625,0.8153711662535166
pasture,spr_B6,0.007518392098147793,0.7732118782322402
pasture,spr_B7,0.011854309627712207,0.4274022936647108
pasture,NDVI_spr,0.009400901749864764,-0.2636450908392733
pasture,YI_spr,0.014423953287629491,-0.5491972064223487
pasture,dNDVI_spr_sum,0.023175117413513063,0.7481868145054841
gorse_broom,pre_B2,0.014089850313995273,-0.5785870542207107
gorse_broom,pre_B3,0.010637736759738451,-0.017306303084752565
gorse_broom,pre_B4,0.02028478382022246,-0.6523339555305324
gorse_broom,pre_B5,0.012634072411325673,-0.4148407790830009
gorse_broom,pre_B6,0.010573637504814012,0.39429811877307624
gorse_broom,pre_B7,0.012276578250653007,-0.41192289323298426
gorse_broom,NDVI,0.01151885917112416,0.28169294645642834
gorse_broom,NDMI,0.012091920458765646,-0.16664506683946528
gorse_broom,BSI,0.009860517656362611,0.2010967912256702
gorse_broom,NBR_pre,0.01417037765552487,-0.16437468500252
gorse_broom,elev,0.008582416211300473,0.6986448169126884
gorse_broom,slope,0.013212315416122502,0.6342045263637892
gorse_broom,northness,0.010956042943212575,-0.35721554227566177
gorse_broom,spr_B2,0.013993597719978244,-0.32807336279011323
gorse_broom,spr_B3,0.011092578814848382,0.27809450895753934
gorse_broom,spr_B4,0.013114208018740326,0.8524111150524676
gorse_broom,spr_B5,0.010210380678451102,-0.6830349455415259
gorse_broom,spr_B6,0.009053989731096196,0.4524230520694961
gorse_broom,spr_B7,0.011868931771300377,0.4039136533874478
gorse_broom,NDVI_spr,0.03437443769616954,-0.8596155230758156
gorse_broom,YI_spr,0.02161701999703832,0.8366021071831427
gorse_broom,dNDVI_spr_sum,0.02017615440997495,-0.8878224974200207
broadleaf_scrub,pre_B2,0.011617301640002865,-0.7865773390648051
broadleaf_scrub,pre_B3,0.011942837722043829,-0.4595686264170157
broadleaf_scrub,pre_B4,0.015454984937895525,-0.7267718940154345
broadleaf_scrub,pre_B5,0.03573398630353416,0.894675516207134
broadleaf_scrub,pre_B6,0.013496917624482584,-0.14170703639225454
broadleaf_scrub,pre_B7,0.011569684344252328,-0.749677801806469
broadleaf_scrub,NDVI,0.02575746527630523,0.8734706122351023
broadleaf_scrub,NDMI,0.03265455536911875,0.865106679146567
broadleaf_scrub,BSI,0.02713757609953417,-0.8791441668466652
broadleaf_scrub,NBR_pre,0.040148524106607665,0.8592891256869946
broadleaf_scrub,elev,0.007237252268193376,-0.5547071411389612
broadleaf_scrub,slope,0.014527105762809262,0.6463652290781674
broadleaf_scrub,northness,0.00978339890374446,0.3722250221998224
broadleaf_scrub,spr_B2,0.00888129027237363,0.5820327406183288
broadleaf_scrub,spr_B3,0.02498010525354568,0.08778660305116245
broadleaf_scrub,spr_B4,0.011656475766681083,-0.07482433608923747
broadleaf_scrub,spr_B5,0.006177678790066983,0.38596034389352474
broadleaf_scrub,spr_B6,0.006424085020191986,0.2755971605810613
broadleaf_scrub,spr_B7,0.007861988884057924,0.334476125562587
broadleaf_scrub,NDVI_spr,0.02690738661878409,0.1654762761897905
broadleaf_scrub,YI_spr,0.013951225744215968,-0.822951016391869
broadleaf_scrub,dNDVI_spr_sum,0.013354964615997294,-0.8369693042455661
exotic_pine,pre_B2,0.007679318411894912,0.6571075087312196
exotic_pine,pre_B3,0.006441772695801364,-0.7559045669366022
exotic_pine,pre_B4,0.011242847224826004,-0.6081034297597206
exotic_pine,pre_B5,0.030210226135111762,-0.8858483762316794
exotic_pine,pre_B6,0.016345470877309424,-0.8020769458773455
exotic_pine,pre_B7,0.006636970908773462,-0.23527668245125588
exotic_pine,NDVI,0.0075472714318451815,-0.6063359493124055
exotic_pine,NDMI,0.008669384817948893,-0.4794873641010873
exotic_pine,BSI,0.006050800943042241,0.33907888736890107
exotic_pine,NBR_pre,0.012474300441422807,-0.7139702882376943
exotic_pine,elev,0.005541640216528352,-0.6676242833496614
exotic_pine,slope,0.009555199936840007,0.7938224494204047
exotic_pine,northness,0.002670503519454645,0.3974824201406389
exotic_pine,spr_B2,0.015750848140916568,-0.37855468009488175
exotic_pine,spr_B3,0.04144291372827944,-0.5444086980212455
exotic_pine,spr_B4,0.025149370588948578,-0.6422444180856482
exotic_pine,spr_B5,0.012704025312115954,-0.7190046793655022
exotic_pine,spr_B6,0.020129962948183654,-0.55969985822115
exotic_pine,spr_B7,0.02478569054444009,-0.47377597832368856
exotic_pine,NDVI_spr,0.05705285889999861,0.3504595963232295
exotic_pine,YI_spr,0.005407899511572547,0.39616483068135455
exotic_pine,dNDVI_spr_sum,0.01542250730898953,0.6643386852905178
