class,var,mean_abs_shap,direction_rho
pasture,pre_B2,0.021234510784817518,0.5366991605456052
pasture,pre_B3,0.012545763471811498,0.7464706676478711
pasture,pre_B4,0.046196716189569706,0.7389242186710413
pasture,pre_B5,0.01360319172930772,-0.07115711613166155
pasture,pre_B6,0.0159266662455366,0.773765538394896
pasture,pre_B7,0.021038208321676247,0.7112492170064332
pasture,NDVI,0.02615523315562002,-0.8437924496604028
pasture,NDMI,0.02354189986815016,-0.8211702306381551
pasture,BSI,0.027914170022618128,0.8330861353109176
pasture,NBR_pre,0.02472039405989231,-0.7643362853097175
pasture,spr_B2,0.010985795298414779,0.7250671396261062
pasture,spr_B3,0.017681029619719547,0.903089858989609
pasture,spr_B4,0.012073744445985593,0.5789268106547119
pasture,spr_B5,0.01758645035462083,0.7998648810000246
pasture,spr_B6,0.008230603721832291,0.7145143125942155
pasture,spr_B7,0.014124867115531323,0.430237874382764
pasture,NDVI_spr,0.010350634899777611,-0.2739698082415341
pasture,YI_spr,0.018060180687397703,-0.5157870737034105
pasture,dNDVI_spr_sum,0.02531113933843168,0.7490988072095424
gorse_broom,pre_B2,0.014981844765219854,-0.5203393105104056
gorse_broom,pre_B3,0.012248185004415647,0.10683540172205805
gorse_broom,pre_B4,0.022976696047282585,-0.6759690089932393
gorse_broom,pre_B5,0.01579348474094512,-0.3933201254234303
gorse_broom,pre_B6,0.01203424104103676,0.3674483013518154
gorse_broom,pre_B7,0.012995743900860054,-0.49428683199516443
gorse_broom,NDVI,0.013674510334317111,0.3175702594379245
gorse_broom,NDMI,0.011595313250345431,-0.20563755489956084
gorse_broom,BSI,0.012001073608492813,-0.006071951424388605
gorse_broom,NBR_pre,0.01476167448259973,-0.10431036551707588
gorse_broom,spr_B2,0.01567927836359512,-0.47288495184563156
gorse_broom,spr_B3,0.011538945736830333,0.21474933970464463
gorse_broom,spr_B4,0.012780123664652095,0.8466343508683962
gorse_broom,spr_B5,0.010444911860783378,-0.6520907745283859
gorse_broom,spr_B6,0.010216578369664596,0.47651047382257955
gorse_broom,spr_B7,0.012997550989916612,0.405600841914567
gorse_broom,NDVI_spr,0.03701729197501557,-0.8445340437276504
gorse_broom,YI_spr,0.025470192461636548,0.8289701682386542
gorse_broom,dNDVI_spr_sum,0.022418183091689275,-0.8923656610747115
broadleaf_scrub,pre_B2,0.013100055734386377,-0.7597754569929126
broadleaf_scrub,pre_B3,0.01396203500087619,-0.4711869613543734
broadleaf_scrub,pre_B4,0.017048910642879365,-0.7338362502164375
broadleaf_scrub,pre_B5,0.03817292166492872,0.8773860337756021
broadleaf_scrub,pre_B6,0.0145826454430852,-0.13361309143107447
broadleaf_scrub,pre_B7,0.012289578106148787,-0.7461822213817093
broadleaf_scrub,NDVI,0.02657809446089206,0.8499628002975975
broadleaf_scrub,NDMI,0.02997472860745601,0.8625506995944033
broadleaf_scrub,BSI,0.03018177412836604,-0.872107423140615
broadleaf_scrub,NBR_pre,0.03941768119355741,0.8553003575971394
broadleaf_scrub,spr_B2,0.01002058596620921,0.6359052389324934
broadleaf_scrub,spr_B3,0.027000245188283218,0.103428496686297
broadleaf_scrub,spr_B4,0.012522779370748277,-0.10324015991117581
broadleaf_scrub,spr_B5,0.006883101050825102,0.27173318917444905
broadleaf_scrub,spr_B6,0.008333789140888418,0.3238116037941902
broadleaf_scrub,spr_B7,0.00827292800618966,0.35507638548083437
broadleaf_scrub,NDVI_spr,0.027515603159356555,0.16036431708546334
broadleaf_scrub,YI_spr,0.01630241397831621,-0.7614875080999353
broadleaf_scrub,dNDVI_spr_sum,0.015310535463266599,-0.7656586747306022
exotic_pine,pre_B2,0.008459825246143087,0.5359464418391289
exotic_pine,pre_B3,0.006591019913689448,-0.6824001785609654
exotic_pine,pre_B4,0.012954218217455625,-0.5633209074112867
exotic_pine,pre_B5,0.031051063350964945,-0.8700048839674154
exotic_pine,pre_B6,0.0173697631066926,-0.794951394331091
exotic_pine,pre_B7,0.005907649765948008,-0.04155336730126279
exotic_pine,NDVI,0.007563185384046012,-0.6278517771857826
exotic_pine,NDMI,0.007555901888506087,-0.43464852281181754
exotic_pine,BSI,0.007184133907746805,0.27054503563971494
exotic_pine,NBR_pre,0.014350080514383181,-0.762106703146375
exotic_pine,spr_B2,0.014433247190734515,-0.3110574580791306
exotic_pine,spr_B3,0.04384864884257015,-0.5527042416115551
exotic_pine,spr_B4,0.02581968267573013,-0.6082930285842083
exotic_pine,spr_B5,0.013773699083155249,-0.6848757319197071
exotic_pine,spr_B6,0.02304130035108833,-0.5609898486752208
exotic_pine,spr_B7,0.02656698067525538,-0.47315198256685925
exotic_pine,NDVI_spr,0.06026500750846887,0.3739026087791298
exotic_pine,YI_spr,0.00615356180351853,0.4692514459884321
exotic_pine,dNDVI_spr_sum,0.016539585174454783,0.6749226006191951
