PID,post_B2,post_B3,post_B4,post_B8,post_B11,post_B12,NBR_pre,NBR_post,dNBR
0,0.03739999979734421,0.05350000038743019,0.0729999989271164,0.12120000272989273,0.2084999978542328,0.18359999358654022,0.30557364225387573,-0.20472438633441925,510.2980041503906
1,0.03220000118017197,0.043800000101327896,0.05490000173449516,0.08550000190734863,0.16369999945163727,0.13040000200271606,0.4668354392051697,-0.2079666405916214,674.8020629882812
2,0.026399999856948853,0.03620000183582306,0.04569999873638153,0.0681999996304512,0.16949999332427979,0.17970000207424164,0.46606335043907166,-0.44977813959121704,915.8414916992188
3,0.03579999879002571,0.03519999980926514,0.04470000043511391,0.09440000355243683,0.16930000483989716,0.17520000040531158,0.4736585021018982,-0.2997032403945923,773.3617553710938
4,0.04554999992251396,0.05654999986290932,0.06920000165700912,0.12269999831914902,0.23489999771118164,0.21985000371932983,0.2281516194343567,-0.28360825777053833,511.7598571777344
5,0.04295000061392784,0.060100000351667404,0.07919999957084656,0.1745000034570694,0.19930000603199005,0.14675000309944153,0.5969042181968689,0.08638132363557816,510.52288818359375
6,0.023399999365210533,0.0284000001847744,0.03929999843239784,0.06610000133514404,0.13860000669956207,0.13249999284744263,0.5327198505401611,-0.334340363740921,867.0601806640625
7,0.05979999899864197,0.07900000363588333,0.09279999881982803,0.20640000700950623,0.23029999434947968,0.1527000069618225,0.5559293627738953,0.149540513753891,406.38885498046875
8,0.03799999877810478,0.03629999980330467,0.04360000044107437,0.07699999958276749,0.1729000061750412,0.193900004029274,0.4092858135700226,-0.4315245449542999,840.8103637695312
9,0.0333000011742115,0.03920000046491623,0.05220000073313713,0.07609999924898148,0.17430000007152557,0.14890000224113464,0.4682498574256897,-0.3235555589199066,791.805419921875
10,0.03779999911785126,0.05894999951124191,0.06515000015497208,0.2013999968767166,0.23454999923706055,0.16740000247955322,0.43042272329330444,0.09219087660312653,338.2318420410156
11,0.03920000046491623,0.05480000004172325,0.0731000006198883,0.14920000731945038,0.2370000034570694,0.16329999268054962,0.639641523361206,-0.04511995241045952,684.761474609375
12,0.04924999922513962,0.061149999499320984,0.06830000132322311,0.14470000565052032,0.21144999563694,0.14925000071525574,0.5407407283782959,-0.015478805638849735,556.2195434570312
13,0.04010000079870224,0.05299999937415123,0.062300000339746475,0.1348000019788742,0.20229999721050262,0.17810000479221344,0.5041322112083435,-0.13838288187980652,642.5150756835938
14,0.05404999852180481,0.05925000086426735,0.07800000160932541,0.1770000010728836,0.21709999442100525,0.1392499953508377,0.586199939250946,0.11936760693788528,466.8323669433594
15,0.02979999966919422,0.041200000792741776,0.04859999939799309,0.1088000014424324,0.19099999964237213,0.13130000233650208,0.5567470788955688,-0.09371095895767212,650.4580688476562
16,0.04349999874830246,0.06554999947547913,0.07890000194311142,0.2321999967098236,0.21164999902248383,0.13429999351501465,0.5463942289352417,0.26712143421173096,279.27276611328125
17,0.02199999988079071,0.02734999917447567,0.03799999877810478,0.07029999792575836,0.14395000040531158,0.1120000034570694,0.6319279074668884,-0.22874385118484497,860.6717529296875
18,0.04619999974966049,0.06369999796152115,0.07524999976158142,0.19249999523162842,0.2632000148296356,0.19990000128746033,0.31194868683815,-0.018858322873711586,330.8070068359375
19,0.05689999833703041,0.06669999659061432,0.0824500024318695,0.16619999706745148,0.23964999616146088,0.20640000700950623,0.19968491792678833,-0.1078905239701271,307.575439453125
20,0.02669999934732914,0.03400000184774399,0.04360000044107437,0.06260000169277191,0.164000004529953,0.14499999582767487,0.4510752558708191,-0.3969171345233917,847.9923706054688
21,0.031599998474121094,0.04190000146627426,0.05480000004172325,0.08739999681711197,0.14219999313354492,0.13760000467300415,0.4575772285461426,-0.2231111377477646,680.6883544921875
22,0.05555000156164169,0.07090000063180923,0.08534999936819077,0.17339999973773956,0.2804499864578247,0.22145000100135803,0.3443348705768585,-0.12169178575277328,466.0266418457031
23,0.03539999946951866,0.04399999976158142,0.057100001722574234,0.10599999874830246,0.1890999972820282,0.16130000352859497,0.5151943564414978,-0.20688366889953613,722.0780029296875
24,0.05339999869465828,0.07855000346899033,0.09669999778270721,0.26499998569488525,0.28505000472068787,0.210099995136261,0.4596841633319855,0.11555460840463638,344.1295471191406
25,0.030400000512599945,0.03240000084042549,0.041999999433755875,0.06700000166893005,0.1462000012397766,0.15690000355243683,0.34433770179748535,-0.4015185236930847,745.8562622070312
26,0.023099999874830246,0.02590000070631504,0.034299999475479126,0.053700000047683716,0.09319999814033508,0.08865000307559967,0.60539710521698,-0.24552161991596222,850.9187622070312
27,0.03440000116825104,0.03920000046491623,0.04830000177025795,0.08160000294446945,0.16539999842643738,0.16369999945163727,0.4842679500579834,-0.33469220995903015,818.9601440429688
28,0.020800000056624413,0.034299999475479126,0.043800000101327896,0.07840000092983246,0.164900004863739,0.16500000655651093,0.5007157325744629,-0.35579293966293335,856.5086669921875
29,0.06040000170469284,0.07074999809265137,0.08470000326633453,0.1525000035762787,0.17434999346733093,0.14624999463558197,0.4393705427646637,0.020920531824231148,418.45001220703125
30,0.0434500016272068,0.0674000009894371,0.0848499983549118,0.2029000073671341,0.22134999930858612,0.14419999718666077,0.5980148911476135,0.1691155582666397,428.8993225097656
31,0.032099999487400055,0.04280000180006027,0.04989999905228615,0.0934000015258789,0.16840000450611115,0.17350000143051147,0.48669108748435974,-0.30011239647865295,786.803466796875
32,0.05849999934434891,0.0714000016450882,0.08384999632835388,0.19820000231266022,0.26695001125335693,0.2048500031232834,0.24738243222236633,-0.016499195247888565,263.8816223144531
33,0.03150000050663948,0.04259999841451645,0.05490000173449516,0.09139999747276306,0.17970000207424164,0.15129999816417694,0.4413033127784729,-0.2468067705631256,688.1100463867188
34,0.053599998354911804,0.06650000065565109,0.07530000060796738,0.16419999301433563,0.20589999854564667,0.17949999868869781,0.4606887400150299,-0.04451558366417885,505.2043151855469
35,0.04230000078678131,0.055149998515844345,0.06199999898672104,0.15139999985694885,0.21574999392032623,0.14464999735355377,0.5956803560256958,0.022800210863351822,572.880126953125
36,0.03864999860525131,0.055799998342990875,0.05415000021457672,0.1290999948978424,0.17589999735355377,0.124549999833107,0.5663865208625793,0.01793808490037918,548.4484252929688
37,0.0385500006377697,0.0568000003695488,0.06544999778270721,0.15230000019073486,0.22335000336170197,0.1699499934911728,0.49172934889793396,-0.054771121591329575,546.5004272460938
38,0.04565000161528587,0.051500000059604645,0.06145000085234642,0.13410000503063202,0.20020000636577606,0.1729000061750412,0.5166780352592468,-0.12638436257839203,643.0623779296875
39,0.03999999910593033,0.058400001376867294,0.07720000296831131,0.1624000072479248,0.20919999480247498,0.18150000274181366,0.4908176064491272,-0.05553938448429108,546.3569946289062
40,0.03060000017285347,0.03660000115633011,0.04659999907016754,0.09769999980926514,0.16169999539852142,0.1404000073671341,0.5668322443962097,-0.17933644354343414,746.1686401367188
41,0.045499999076128006,0.05620000138878822,0.05939999967813492,0.1931000053882599,0.2168000042438507,0.15494999289512634,0.5781732797622681,0.10961072146892548,468.5625915527344
42,0.0364999994635582,0.062300000339746475,0.06445000320672989,0.2184000015258789,0.24390000104904175,0.16990000009536743,0.571142315864563,0.12490342557430267,446.2388610839844
43,0.04619999974966049,0.050999999046325684,0.06509999930858612,0.12999999523162842,0.18209999799728394,0.1858000010251999,0.46657314896583557,-0.1766941249370575,643.2672729492188
44,0.033399999141693115,0.041099999099969864,0.052400000393390656,0.0828000009059906,0.15399999916553497,0.15039999783039093,0.4819488227367401,-0.2898799180984497,771.8287353515625
