PID,FuelClass,class_id,split,block_id,elev,slope,northness,chm,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,NDVI,NBR,NDWI,NDRE,BSI
0,pasture,1,train,300005,333.45001220703125,29.795400619506836,0.9932839870452881,0.8679810166358948,0.06159999966621399,0.10050000250339508,0.10580000281333923,0.15219999849796295,0.2538999915122986,0.2881999909877777,0.3009999990463257,0.325300008058548,0.23839999735355377,0.16009999811649323,0.4798426628112793,0.30557364225387573,-0.4993773102760315,0.328331857919693,-0.0260328222066164
1,pasture,1,train,500003,387.04998779296875,12.87440013885498,0.9570749998092651,1.875,0.038100000470876694,0.059950001537799835,0.0608999989926815,0.11155000329017639,0.21789999306201935,0.2551000118255615,0.2897000014781952,0.2996000051498413,0.19200000166893005,0.10530000180006027,0.652595579624176,0.4668354392051697,-0.657085657119751,0.44398751854896545,-0.12898226082324982
2,pasture,1,train,300004,348.3500061035156,9.487959861755371,0.5683929920196533,0.8049929738044739,0.035599999129772186,0.05739999935030937,0.06199999898672104,0.12200000137090683,0.2526000142097473,0.29490000009536743,0.3077999949455261,0.33730000257492065,0.20559999346733093,0.11209999769926071,0.6646836400032043,0.46606335043907166,-0.6856517195701599,0.4322940707206726,-0.12405892461538315
3,pasture,1,valid,400003,405.510009765625,15.28909969329834,0.8916699886322021,1.2719999551773071,0.026850000023841858,0.054749999195337296,0.05420000106096268,0.1107499971985817,0.22030000388622284,0.2628999948501587,0.30140000581741333,0.30774998664855957,0.1996999979019165,0.10764999687671661,0.6951631307601929,0.4736585021018982,-0.6925452947616577,0.4625743329524994,-0.12771622836589813
4,pasture,1,train,7,264.2200012207031,17.73859977722168,0.42204800248146057,0.11700399965047836,0.06300000101327896,0.09700000286102295,0.1306000053882599,0.19140000641345978,0.24570000171661377,0.2809000015258789,0.3176000118255615,0.3375000059604645,0.33169999718666077,0.1995999962091446,0.4172244369983673,0.2281516194343567,-0.5320791006088257,0.2479371279478073,0.09692726284265518
5,pasture,1,train,600003,373.8699951171875,18.229900360107422,0.8273429870605469,0.3089900016784668,0.02645000070333481,0.05040000006556511,0.03999999910593033,0.10464999824762344,0.26440000534057617,0.32910001277923584,0.37139999866485596,0.38484999537467957,0.18455000221729279,0.09375,0.8055420517921448,0.5969042181968689,-0.7610241770744324,0.5603402853012085,-0.2784382998943329
6,pasture,1,train,700000,268.010009765625,34.505699157714844,0.6582509875297546,0.40597501397132874,0.02539999969303608,0.0507499985396862,0.04170000180602074,0.11044999957084656,0.24889999628067017,0.2966499924659729,0.29980000853538513,0.3338499963283539,0.17949999868869781,0.09139999747276306,0.7557833194732666,0.5327198505401611,-0.7104550004005432,0.4615478515625,-0.19033676385879517
7,pasture,1,train,300004,370.739990234375,10.953399658203125,0.4779230058193207,0.1510010063648224,0.032099999487400055,0.06560000032186508,0.053199999034404755,0.13750000298023224,0.2759999930858612,0.32899999618530273,0.3700000047683716,0.38600000739097595,0.20090000331401825,0.10559999942779541,0.7485822439193726,0.5559293627738953,-0.6988062262535095,0.45812806487083435,-0.22554099559783936
8,pasture,1,train,300004,366.1600036621094,26.330799102783203,0.9471520185470581,1.773010015487671,0.027899999171495438,0.054999999701976776,0.0608999989926815,0.12189999967813492,0.22904999554157257,0.27219998836517334,0.28760001063346863,0.3267500102519989,0.2176000028848648,0.1205499991774559,0.6505021452903748,0.4092858135700226,-0.6789258718490601,0.4046398103237152,-0.06228957325220108
9,pasture,1,train,500003,411.1199951171875,13.49839973449707,0.9997829794883728,3.871000051498413,0.03554999828338623,0.057750001549720764,0.05570000037550926,0.11240000277757645,0.22540000081062317,0.275299996137619,0.28439998626708984,0.3227500021457672,0.1887499988079071,0.10300000011920929,0.6724492907524109,0.4682498574256897,-0.6624287366867065,0.43346771597862244,-0.13377034664154053
