B4,B5,B6,B7,B8,OID,lon,lat,FuelClass,class_id,split,source
617,1093,2397,2988,3016,101,172.63169446892852,-43.60344612675295,exotic_pine,3,train,main
722,1217,2465,2927,2905,102,172.57848533207465,-43.632788488810206,exotic_pine,3,valid,main
292,431,1331,1723,1817,103,172.64064754967671,-43.60375169301891,exotic_pine,3,train,main
964,1188,2167,2564,2935,105,172.63329814398358,-43.605085345429934,exotic_pine,3,train,main
728,1438,2983,3521,3646,107,172.62948304855408,-43.5969167555381,exotic_pine,3,valid,main
290,484,1609,2125,1950,108,172.63436454208122,-43.60116985920737,exotic_pine,3,valid,main
272,420,1457,1933,1867,109,172.6256904469858,-43.605597877522,exotic_pine,3,valid,main
258,370,1070,1418,1177,110,172.61970952221384,-43.59345834472101,exotic_pine,3,train,main
367,814,2762,3564,3685,111,172.5896893243814,-43.63179688809539,exotic_pine,3,train,main
617,1114,2716,3324,3500,112,172.62832535856532,-43.59298457835785,exotic_pine,3,train,main
461,724,1932,2342,2270,113,172.6168528321794,-43.58967508171658,exotic_pine,3,train,main
275,393,1232,1666,1529,115,172.63864791798304,-43.59993569109719,exotic_pine,3,valid,main
358,540,1654,2102,2081,118,172.61923748210287,-43.60575739167327,exotic_pine,3,train,main
303,453,1469,1847,1779,119,172.6321193028055,-43.60641525612438,exotic_pine,3,train,main
276,423,1360,1858,1782,120,172.58925348991008,-43.62917820705327,exotic_pine,3,train,main
319,562,1809,2312,2311,121,172.6350916078785,-43.600562705173246,exotic_pine,3,train,main
309,490,1679,2244,2153,122,172.61695142969614,-43.5926769829528,exotic_pine,3,train,main
416,830,2227,2666,2673,123,172.62417407625276,-43.5968959091145,exotic_pine,3,train,main
332,540,1713,2192,2339,124,172.61789802674974,-43.59390519310615,exotic_pine,3,train,main
453,804,1960,2406,1991,126,172.63658744999026,-43.60487177860104,exotic_pine,3,train,main
361,654,1817,2283,2322,128,172.6067823830724,-43.595263593102906,exotic_pine,3,train,main
311,517,1738,2297,2058,131,172.60663877217462,-43.60420776429775,exotic_pine,3,train,main
944,1504,2763,3356,3417,132,172.57674576529672,-43.6323859485036,exotic_pine,3,valid,main
300,471,1502,1998,1966,136,172.5935809937492,-43.63333751545348,exotic_pine,3,train,main
280,395,1231,1546,1710,139,172.62307209670595,-43.61047712959819,exotic_pine,3,train,main
240,372,1012,1280,1022,141,172.64007041861834,-43.60505713885813,exotic_pine,3,train,main
279,449,1506,2151,2058,142,172.61818522643424,-43.615639927359744,exotic_pine,3,valid,main
333,513,1551,1852,1876,143,172.62265660831218,-43.6050556062384,exotic_pine,3,train,main
287,396,1253,1651,1663,144,172.62002928472478,-43.59326261159318,exotic_pine,3,train,main
330,503,1698,2279,2300,145,172.63297903517525,-43.59927447426436,exotic_pine,3,valid,main
304,473,1612,2116,2060,146,172.61844782737555,-43.61510040095305,exotic_pine,3,valid,main
309,667,1979,2891,2573,148,172.63605268338372,-43.6095913022717,exotic_pine,3,train,main
425,1377,4627,5852,5658,151,172.62052472862032,-43.616247254662746,broadleaf_scrub,4,valid,main
452,1114,3522,4514,4389,152,172.61169551072678,-43.62994897957237,broadleaf_scrub,4,valid,main
579,1237,3677,4663,4112,153,172.623719436021,-43.61932161065327,broadleaf_scrub,4,train,main
377,905,3022,3964,3629,154,172.60546743449123,-43.6203048033223,broadleaf_scrub,4,valid,main
458,1188,3844,4870,4551,155,172.610512411278,-43.62811266285671,broadleaf_scrub,4,train,main
437,1091,3544,4541,4439,157,172.61001274404202,-43.62898651678216,broadleaf_scrub,4,valid,main
429,869,2618,3253,3390,158,172.61250278156731,-43.627174507187085,broadleaf_scrub,4,valid,main
383,871,2192,2642,2848,159,172.62485133793933,-43.62949537771016,broadleaf_scrub,4,train,main
495,1032,2966,3760,3650,162,172.60660795775206,-43.62832911287591,broadleaf_scrub,4,valid,main
532,858,1856,2296,2444,164,172.59329217707673,-43.60841098638432,broadleaf_scrub,4,train,main
574,1032,2549,3029,2918,165,172.6169149130227,-43.6322248376971,broadleaf_scrub,4,valid,main
434,940,2225,2605,2611,166,172.62098953315797,-43.62380463833528,broadleaf_scrub,4,train,main
366,1007,2865,3523,3338,167,172.61848989461384,-43.62896508604723,broadleaf_scrub,4,train,main
391,783,2352,2872,2951,168,172.61098927400997,-43.60486090370076,broadleaf_scrub,4,valid,main
470,1185,3492,4451,4612,169,172.61677249843305,-43.61107142418967,broadleaf_scrub,4,train,main
453,997,3152,3821,3568,170,172.61265218749074,-43.629427617413626,broadleaf_scrub,4,train,main
451,953,3043,3844,3312,171,172.61248085448543,-43.625216947122645,broadleaf_scrub,4,train,main
387,886,2704,3240,2546,172,172.6119528821597,-43.63058891208682,broadleaf_scrub,4,valid,main
498,883,2296,2766,2695,173,172.61472672113123,-43.62857880652938,broadleaf_scrub,4,valid,main
459,1140,3714,4427,4478,174,172.61474152241036,-43.63013591768594,broadleaf_scrub,4,train,main
419,841,2516,3107,3146,175,172.64365559777391,-43.602238676203335,broadleaf_scrub,4,train,main
398,993,2549,2999,3076,177,172.61716973164107,-43.629851501817846,broadleaf_scrub,4,train,main
493,1151,3571,4428,4352,179,172.6069563309128,-43.62662518172672,broadleaf_scrub,4,valid,main
462,920,2531,3070,2868,180,172.60845865453442,-43.62243986453276,broadleaf_scrub,4,train,main
542,1152,3593,4561,4422,181,172.6295122744094,-43.622037888373,broadleaf_scrub,4,train,main
484,1217,3708,4691,4506,182,172.62041902940206,-43.63317009218286,broadleaf_scrub,4,train,main
415,921,2705,3376,3518,184,172.61318774683946,-43.62713709368098,broadleaf_scrub,4,valid,main
446,1560,5024,6387,6253,185,172.6223978711734,-43.616849987217165,broadleaf_scrub,4,valid,main
443,1265,4271,5331,5206,186,172.6190687217668,-43.63256817085208,broadleaf_scrub,4,valid,main
409,892,2680,3344,3236,188,172.60021364607633,-43.620317961755255,broadleaf_scrub,4,valid,main
395,780,1900,2274,2265,189,172.6308224341315,-43.629932958395074,broadleaf_scrub,4,train,main
404,835,2685,3360,3404,190,172.6445386180989,-43.605391927127535,broadleaf_scrub,4,train,main
418,1218,4375,5574,5247,191,172.6217673478566,-43.61621861664004,broadleaf_scrub,4,valid,main
381,1049,3376,4178,4069,193,172.60994041059843,-43.62674490937649,broadleaf_scrub,4,train,main
460,996,2943,3691,3324,194,172.60735148396682,-43.62910205604049,broadleaf_scrub,4,train,main
475,1128,3220,4128,4366,197,172.6213472179772,-43.61537810334503,broadleaf_scrub,4,valid,main
435,714,1942,2388,2607,198,172.60176611474833,-43.62194798080467,broadleaf_scrub,4,train,main
392,947,2550,3100,3135,199,172.62434326120766,-43.62709316894437,broadleaf_scrub,4,train,main
335,755,2389,2977,3114,200,172.61424600421603,-43.603345731809625,broadleaf_scrub,4,valid,main
413,953,2580,3021,3247,206,172.624298270776,-43.63620690780643,bare_rock,5,train,main
411,1007,2871,3468,3272,207,172.62380165701924,-43.63632232758366,bare_rock,5,valid,main
411,1007,2871,3468,3272,208,172.62387615201112,-43.63630456456067,bare_rock,5,train,main
430,667,1816,2296,2304,211,172.649758301641,-43.60702442277576,bare_rock,5,valid,main
283,668,1436,1669,1425,212,172.6493254490693,-43.60687902988063,bare_rock,5,train,main
879,1424,2995,3570,3392,213,172.65035396246324,-43.606873176028,bare_rock,5,train,main
473,871,1864,2253,1810,215,172.65022874716698,-43.60709789607024,bare_rock,5,valid,main
284,440,1440,1758,1308,216,172.63779566541342,-43.60220343274059,exotic_pine,3,train,main
248,377,1179,1576,1167,217,172.63988212243123,-43.60026617712914,exotic_pine,3,train,main
443,871,2263,2707,2608,218,172.62594191637896,-43.59679622265791,exotic_pine,3,train,main
295,565,1977,2539,2569,219,172.63904913687512,-43.59831089105945,exotic_pine,3,train,main
404,582,1184,1507,1216,220,172.59886221439882,-43.60631591495347,exotic_pine,3,train,main
476,837,1708,1840,1512,222,172.5984271602282,-43.60585794344249,exotic_pine,3,train,main
263,396,1397,1887,1860,225,172.62211809849202,-43.60917466538326,exotic_pine,3,valid,main
581,1223,3340,4077,4237,256,172.59624750234275,-43.60399535561577,pasture,1,train,main
561,967,2384,2912,2811,257,172.57921981893608,-43.61733508677009,pasture,1,train,main
413,788,2542,3274,3173,258,172.6076516450438,-43.60261072634201,pasture,1,train,main
519,896,2275,2769,2692,259,172.61906879911305,-43.61939620184116,pasture,1,train,main
636,1266,3326,4082,4119,260,172.5953682590636,-43.60210193602852,pasture,1,train,main
761,992,2298,2921,2926,261,172.58326839090932,-43.62171590032658,pasture,1,train,main
592,1267,3363,4216,4241,262,172.5968962656482,-43.59879574271616,pasture,1,valid,main
648,1228,2783,3323,3244,263,172.62602960631642,-43.62578799762241,pasture,1,valid,main
572,1088,2582,3096,3267,264,172.6223146124211,-43.623090072886285,pasture,1,valid,main
477,1107,3180,4170,4610,265,172.63606206461398,-43.61358319847783,gorse_broom,2,train,main
445,1073,3442,4313,4420,266,172.60308372897185,-43.626646134982,gorse_broom,2,train,main
506,1092,3172,4011,3692,267,172.6021648433082,-43.62765976541758,gorse_broom,2,train,main
583,1148,2930,3647,3699,268,172.60081932161043,-43.62260834451896,gorse_broom,2,train,main
436,785,2093,2481,2544,269,172.5897607763392,-43.62174477286493,gorse_broom,2,train,main
504,1044,2938,3717,3251,270,172.59090296300568,-43.6113186928221,gorse_broom,2,train,main
408,770,2014,2424,2718,271,172.61411380767444,-43.62040713876994,gorse_broom,2,valid,main
422,740,1878,2242,2084,272,172.59107448745047,-43.616434341834506,gorse_broom,2,valid,main
508,1015,2683,3414,3110,273,172.61940814657427,-43.61491233047942,gorse_broom,2,valid,main
278,407,1182,1535,1652,274,172.64166773391534,-43.604594571499405,exotic_pine,3,train,main
788,1239,2344,2749,2675,275,172.57728304595508,-43.63270336019676,exotic_pine,3,train,main
333,574,1900,2281,2467,276,172.63857937214047,-43.602612341448136,exotic_pine,3,train,main
477,1118,3560,4007,4275,278,172.61070580527232,-43.63076167348706,broadleaf_scrub,4,train,main
504,1078,2985,3678,3745,279,172.61765214668523,-43.63185057326124,broadleaf_scrub,4,train,main
371,801,2263,2516,2425,280,172.62265091290652,-43.63302237421557,broadleaf_scrub,4,train,main
490,1121,2992,3700,3634,281,172.60662690891235,-43.627680117531824,broadleaf_scrub,4,train,main
514,1230,3707,4624,4731,282,172.6085793770931,-43.6280888096092,broadleaf_scrub,4,valid,main
475,887,2242,2616,2697,283,172.62103160809596,-43.63666893189886,broadleaf_scrub,4,valid,main
1274,1609,2175,2631,2475,337,172.63230572936098,-43.599119127875085,cleared_pine,6,valid,main
503,673,2003,2502,2452,338,172.63050373683288,-43.59865041090194,cleared_pine,6,valid,main
353,656,1841,2373,2490,339,172.63100084221836,-43.598564244173055,cleared_pine,6,valid,main
485,642,1967,2618,2815,340,172.6315085309371,-43.59826038939523,cleared_pine,6,train,main
543,1064,1961,2343,2719,341,172.63062051635748,-43.59824861856906,cleared_pine,6,train,main
366,674,1548,2002,1950,342,172.62706108356514,-43.60190704802712,cleared_pine,6,valid,main
923,972,1883,2243,2578,343,172.6324788543576,-43.6007711821477,cleared_pine,6,valid,main
543,935,2356,2882,2551,344,172.6299013567258,-43.60138686053256,cleared_pine,6,valid,main
464,558,1786,2230,2425,345,172.63065144807382,-43.59917061047083,cleared_pine,6,valid,main
718,1029,2026,2282,2233,346,172.62714204410494,-43.60217671296115,cleared_pine,6,valid,main
536,927,1883,2234,1957,347,172.6323058698498,-43.60053141763778,cleared_pine,6,valid,main
478,834,1596,1958,1969,348,172.62749850362897,-43.60177624127578,cleared_pine,6,valid,main
672,644,1701,2156,2227,349,172.62988931577942,-43.598052434286735,cleared_pine,6,train,main
730,942,1621,1932,1770,350,172.62761714078914,-43.60151202610019,cleared_pine,6,valid,main
649,1084,2337,2726,2599,351,172.63202233677742,-43.59802393358749,cleared_pine,6,train,main
409,845,1691,1977,1848,352,172.63233657430004,-43.59879406346105,cleared_pine,6,valid,main
672,948,2135,2469,2207,353,172.62994469542306,-43.60107570550618,cleared_pine,6,valid,main
841,1402,2818,3340,3345,354,172.63277510287742,-43.60235404463321,cleared_pine,6,valid,main
872,921,1729,2253,2336,355,172.6323995066878,-43.6001855782982,cleared_pine,6,valid,main
