FuelClass,class_id,split,PortHills2017_stack_pre_B2,PortHills2017_stack_pre_B3,PortHills2017_stack_pre_B4,PortHills2017_stack_pre_B5,PortHills2017_stack_pre_B6,PortHills2017_stack_pre_B7,PortHills2017_stack_post_B2,PortHills2017_stack_post_B3,PortHills2017_stack_post_B4,PortHills2017_stack_post_B5,PortHills2017_stack_post_B6,PortHills2017_stack_post_B7,PortHills2017_stack_NBR_pre,PortHills2017_stack_NBR_post,PortHills2017_stack_dNBR,PortHills2017_stack_NDVI,PortHills2017_stack_BSI,PortHills2017_stack_severity,PortHills2017_stack_valid_data,PortHills2017_stack_elev,PortHills2017_stack_slope,PortHills2017_stack_northness
pasture,1,train,0.050882499665021896,0.08729249984025955,0.09939250349998474,0.35841500759124756,0.2612299919128418,0.16041499376296997,0.026077499613165855,0.0677262470126152,0.0750962495803833,0.18084749579429626,0.19492749869823456,0.14801250398159027,0.3816278874874115,0.09984491765499115,161.32337951660156,0.5657891035079956,-0.06322085112333298,1.0,1.0,227.0,15.578625679016113,0.987048864364624
pasture,1,train,0.026998750865459442,0.05093749985098839,0.046620000153779984,0.3312450051307678,0.14028500020503998,0.06863375008106232,0.03418999910354614,0.05110250040888786,0.05833499878644943,0.1207050010561943,0.10035499930381775,0.08402000367641449,0.6567271947860718,0.17919160425662994,357.0760192871094,0.7532452344894409,-0.31429725885391235,2.0,1.0,458.0,19.74445343017578,-0.9922088384628296
pasture,1,train,0.029075000435113907,0.04785750061273575,0.04298999905586243,0.2344450056552887,0.13643500208854675,0.0686199963092804,0.054237499833106995,0.08393750339746475,0.08451499789953232,0.13761749863624573,0.13030250370502472,0.12628750503063202,0.5471598505973816,0.042932115495204926,383.76812744140625,0.6900895833969116,-0.18985426425933838,2.0,1.0,71.0,12.878793716430664,0.920399010181427
pasture,1,train,0.039799999445676804,0.0686199963092804,0.08638499677181244,0.3312999904155731,0.18167249858379364,0.1020049974322319,0.05782625079154968,0.08831000328063965,0.08888749778270721,0.19535374641418457,0.16957250237464905,0.13962499797344208,0.5291768908500671,0.16636502742767334,242.35227966308594,0.5863629579544067,-0.1612161248922348,1.0,1.0,189.0,12.633130073547363,-0.0722237303853035
pasture,1,valid,0.07230500131845474,0.10750500112771988,0.14045000076293945,0.3200249969959259,0.34774500131607056,0.20361749827861786,0.07645750045776367,0.11487500369548798,0.10060250014066696,0.28782251477241516,0.23975250124931335,0.17677749693393707,0.2223033905029297,0.23901204764842987,-137.1682586669922,0.38997775316238403,0.10887254774570465,0.0,1.0,90.0,31.130332946777344,0.7772777676582336
pasture,1,train,0.025885000824928284,0.04355375096201897,0.05477375164628029,0.17658500373363495,0.13521124422550201,0.07035250216722488,0.03669250011444092,-0.0474575012922287,-0.053933750838041306,0.023588750511407852,0.09343875199556351,0.10376500338315964,0.4301999509334564,-0.6295554637908936,939.2958374023438,0.5265037417411804,-0.03181256353855133,3.0,1.0,387.0,12.453503608703613,0.5863981246948242
pasture,1,valid,0.05459500104188919,0.08971250057220459,0.0993650034070015,0.3724674880504608,0.2896924912929535,0.1608549952507019,0.04177999868988991,0.06196499988436699,0.06255625188350677,0.19485874474048615,0.1612125039100647,0.1075737476348877,0.3967815041542053,0.2886098623275757,-12.28795051574707,0.5788124203681946,-0.04656790569424629,0.0,1.0,161.0,16.97701072692871,0.4772150218486786
pasture,1,valid,0.04758249968290329,0.08094000071287155,0.09518499672412872,0.3531075119972229,0.25592249631881714,0.13338249921798706,0.06456375122070312,0.08573874831199646,0.09294375032186508,0.1807512491941452,0.19730624556541443,0.16290375590324402,0.45165368914604187,0.05193435400724411,279.2597351074219,0.5753442049026489,-0.06595193594694138,2.0,1.0,176.0,11.948967933654785,0.9944014549255371
pasture,1,valid,0.042742498219013214,0.08069249987602234,0.088639996945858,0.38195499777793884,0.265547513961792,0.13786500692367554,0.04832499846816063,0.07813499867916107,0.07618249952793121,0.17974750697612762,0.1598924994468689,0.1328050047159195,0.46956637501716614,0.15019077062606812,198.91603088378906,0.6232854127883911,-0.09052684158086777,1.0,1.0,186.0,10.477527618408203,0.8753297924995422
pasture,1,train,0.029803749173879623,0.05744124948978424,0.04756874963641167,0.4029512405395508,0.18196125328540802,0.08476249873638153,0.04472250118851662,0.06631000339984894,0.06061749905347824,0.24112750589847565,0.14242999255657196,0.10285750031471252,0.6524088382720947,0.4019652009010315,129.98402404785156,0.7888273596763611,-0.3068543076515198,1.0,1.0,178.0,12.454767227172852,0.9527971744537354
pasture,1,train,0.02538999915122986,0.05305499956011772,0.04220625013113022,0.4033087491989136,0.15554749965667725,0.06948625296354294,0.03886500000953674,0.053632501512765884,0.05814250186085701,0.10313250124454498,0.1027199998497963,0.09202250093221664,0.706061840057373,0.05692910775542259,528.673095703125,0.8105282783508301,-0.3686552345752716,2.0,1.0,458.0,18.15870475769043,-0.7896839380264282
pasture,1,train,0.04156000167131424,0.07722750306129456,0.07986749708652496,0.3750250041484833,0.20793500542640686,0.11388500034809113,0.06952749937772751,0.10747750103473663,0.13505999743938446,0.26100999116897583,0.2551800012588501,0.16891250014305115,0.5341269373893738,0.2142188400030136,199.44850158691406,0.6488510966300964,-0.18282905220985413,1.0,1.0,119.0,6.00093412399292,0.7699609994888306
