FuelClass,class_id,split,pre_B2,pre_B3,pre_B4,pre_B5,pre_B6,pre_B7,post_B2,post_B3,post_B4,post_B5,post_B6,post_B7,NBR_pre,NBR_post,dNBR,NDVI,BSI,severity,valid_data,elev,slope,northness,OID,X,Y,source
pasture,1,train,0.044887501746416,0.0748900026082992,0.0891074985265731,0.3567925095558166,0.2493499964475631,0.1315674930810928,0.0510750003159046,0.0808712467551231,0.0782999992370605,0.1803937554359436,0.1848074942827224,0.1599750071763992,0.461186408996582,0.0599900856614112,280.7367553710937,0.6003251671791077,-0.085419937968254,2.0,1.0,85.0,20.66674995422364,0.5578949451446533,1,1566671.8184000002,5170363.4729,original_211
pasture,1,valid,0.0526974983513355,0.0852850005030632,0.108192503452301,0.3480199873447418,0.2609274983406067,0.1296149939298629,0.056547500193119,0.0643849968910217,0.0632987469434738,0.1221212521195411,0.1514225006103515,0.1518899947404861,0.4572633802890777,-0.1086406111717224,445.44439697265625,0.5256925225257874,-0.0410443767905235,2.0,1.0,74.0,29.690284729003903,0.5678273439407349,2,1569750.9385000002,5173824.6398,original_211
pasture,1,train,0.0315775014460086,0.0595449991524219,0.0616074986755847,0.3771699965000152,0.1778775006532669,0.0885574966669082,0.044887501746416,0.0596549995243549,0.065650001168251,0.1337399929761886,0.1465000063180923,0.1335750073194503,0.6197025179862976,0.0006172492867335,498.6256713867188,0.7191857099533081,-0.2611138820648193,2.0,1.0,133.0,8.942805290222168,-0.1028700694441795,3,1566413.0926,5170249.5459,original_211
pasture,1,train,0.057812500745058,0.0987050011754036,0.125957503914833,0.3894625008106231,0.2911224961280823,0.1555200070142746,0.0515699982643127,0.0561899989843368,0.0603974983096122,0.0947725027799606,0.1355825066566467,0.1469125002622604,0.4292660653591156,-0.2157353609800338,524.5418701171875,0.5112432837486267,-0.0349335633218288,2.0,1.0,160.0,12.829142570495604,0.9951671361923218,4,1566412.9859999996,5169945.3333,original_211
pasture,1,train,0.0399925000965595,0.071892499923706,0.084707498550415,0.3545374870300293,0.2121424973011016,0.1029950007796287,0.0369125008583068,0.052862498909235,0.0597374998033046,0.1304125040769577,0.1402850002050399,0.1215849965810775,0.5497806072235107,0.0350301079452037,394.2909240722656,0.6143040657043457,-0.1412826478481292,2.0,1.0,32.0,5.283116340637207,0.8752986192703247,6,1566599.5831000004,5170996.8073,original_211
pasture,1,valid,0.0535500012338161,0.0886124968528747,0.0884749963879585,0.320107489824295,0.2256174981594085,0.1324750036001205,0.0179375000298023,0.0428524985909462,0.0275625009089708,0.1741375029087066,0.1041774973273277,0.0626524984836578,0.4145818650722503,0.4708180129528045,-176.69573974609375,0.566917359828949,-0.0866085067391395,0.0,1.0,201.0,16.418333053588867,-0.1648092716932296,9,1567918.6678,5171581.618,original_211
pasture,1,valid,0.0375587493181228,0.0735562518239021,0.0725800022482872,0.3476487398147583,0.2340324968099594,0.1258887499570846,0.0662825033068656,0.0840200036764144,0.0963675007224083,0.1645675003528595,0.2403849959373474,0.2349674999713897,0.4683050513267517,-0.1762048453092575,524.05029296875,0.6545690894126892,-0.1136061400175094,2.0,1.0,119.0,12.639369010925291,-0.0721868947148323,10,1565959.5383,5168644.3876,original_211
pasture,1,train,0.0467025004327297,0.0746700018644332,0.1014550030231475,0.4161374866962433,0.2238849997520446,0.1080550029873848,0.0531925000250339,0.0996124967932701,0.0954599976539611,0.2106987535953521,0.1908162534236908,0.1721162497997284,0.5877277851104736,0.1007862836122512,366.4819030761719,0.6079734563827515,-0.174452543258667,2.0,1.0,162.0,8.471453666687012,0.4347411692142486,11,1567992.056,5172005.51,original_211
pasture,1,valid,0.0437600016593933,0.0808025002479553,0.0863574966788292,0.3611375093460083,0.2524299919605255,0.1312925070524215,0.05095124989748,0.0813937485218048,0.0920087471604347,0.1798712462186813,0.1972787529230117,0.1577749997377395,0.4667567014694214,0.0654420107603073,280.8551025390625,0.6140403747558594,-0.0888951644301414,2.0,1.0,241.0,14.139426231384276,0.9638856053352356,13,1567040.9308000002,5169646.5368,original_211
pasture,1,train,0.0594624988734722,0.0987875014543533,0.1277174949645996,0.3912774920463562,0.3167800009250641,0.1648699939250946,0.0799637511372566,0.1246924996376037,0.1244449988007545,0.2689025104045868,0.24226875603199,0.2086775004863739,0.4070997238159179,0.1261045336723327,160.53561401367188,0.507827639579773,-0.0069730100221931,1.0,1.0,166.0,18.548614501953125,0.9166374206542968,16,1567629.4589999998,5172426.7515,original_211
pasture,1,train,0.041092500090599,0.0611400008201599,0.057702500373125,0.2973924875259399,0.1520275026559829,0.0920225009322166,0.0383149981498718,0.0518449991941452,0.04755499958992,0.1963025033473968,0.1395425051450729,0.092847503721714,0.5273808240890503,0.3577900826931,49.13114929199219,0.6750024557113647,-0.2348622381687164,0.0,1.0,197.0,4.799789905548096,0.9639174342155457,17,1569104.3733,5172767.1829,original_211
pasture,1,train,0.0335025005042552,0.0686199963092804,0.0768150016665458,0.3345724940299988,0.1752375066280365,0.0886949971318245,0.0394149981439113,0.0539624989032745,0.0669149979948997,0.1243349984288215,0.1288174986839294,0.1068449988961219,0.5809033513069153,0.0756553336977958,384.7883911132813,0.6265564560890198,-0.187094584107399,2.0,1.0,99.0,15.53624153137207,-0.4658253490924835,18,1565832.8997,5169407.7974,original_211
pasture,1,train,0.0318249985575675,0.0602875016629695,0.0492050014436244,0.3568750023841858,0.1776849925518036,0.0938649997115135,0.0592974983155727,0.0800324976444244,0.0853950008749961,0.1964949965476989,0.1662175059318542,0.1425675004720688,0.5835071206092834,0.159048855304718,303.9986877441406,0.7576586008071899,-0.2628535330295563,2.0,1.0,40.0,12.236007690429688,0.3732213079929352,19,1568439.8011999996,5172007.6862,original_211
pasture,1,train,0.0455475002527236,0.0802799984812736,0.097522497177124,0.3975200057029724,0.2211900055408477,0.1193024963140487,0.0925037488341331,0.1122075021266937,0.107972502708435,0.2131187468767166,0.1976912468671798,0.1801462471485138,0.5383231043815613,0.0838429555296897,334.02056884765625,0.6060035228729248,-0.1632426679134369,2.0,1.0,116.0,9.609990119934082,0.3824258744716644,20,1569735.8293000003,5173688.114,original_211
pasture,1,train,0.0588300004601478,0.0911974981427192,0.1089074984192848,0.3218950033187866,0.2306499928236007,0.1286524981260299,0.054127499461174,0.0885574966669082,0.0885712504386901,0.2299074977636337,0.1917787492275238,0.1432412564754486,0.4289059340953827,0.2322565764188766,76.18977355957031,0.4943970739841461,-0.0571546591818332,0.0,1.0,170.0,7.856057167053223,0.2346396595239639,23,1567147.8003000002,5172128.7687,original_211
pasture,1,train,0.0310274995863437,0.0610162504017353,0.0588712505996227,0.3615912497043609,0.188313752412796,0.0914862528443336,0.0419174991548061,0.0512125007808208,0.0542099997401237,0.089987501502037,0.0993650034070015,0.1056900024414062,0.5961562991142273,-0.0802468359470367,555.9435424804688,0.7199690937995911,-0.2273099422454834,2.0,1.0,469.0,11.273324966430664,0.9745035171508788,25,1569734.9369,5169733.6268,original_211
pasture,1,valid,0.039717499166727,0.0621300004422664,0.0658425018191337,0.3249199986457824,0.2029574960470199,0.1005750000476837,0.0476512499153614,0.0541549995541572,0.0540587492287159,0.1009600013494491,0.1284737437963485,0.1277037560939788,0.5272564888000488,-0.1169566661119461,523.7535400390625,0.663004994392395,-0.1512974798679351,2.0,1.0,62.0,28.72872543334961,0.6792454123497009,26,1569802.0823,5173818.4926,original_211
pasture,1,train,0.0496724992990493,0.0749725028872489,0.0918025001883506,0.2663725018501282,0.2620824873447418,0.1546950042247772,0.0441724993288517,0.0714799985289573,0.0745462477207183,0.171827495098114,0.1643200069665908,0.1276487559080124,0.2652246952056885,0.147520050406456,-2.75494122505188,0.4873874485492706,0.0564835146069526,0.0,1.0,270.0,10.302712440490724,0.1781031787395477,27,1568178.7215999998,5170774.5685,original_211
pasture,1,train,0.0456712506711483,0.0855600014328956,0.0984300002455711,0.4009712636470794,0.244413748383522,0.1326124966144561,0.0165624991059303,0.0449012517929077,0.0510062500834465,0.1617487519979477,0.1569362431764602,0.1022937521338462,0.5029364824295044,0.2251720875501632,157.30484008789062,0.6058079600334167,-0.1314763277769088,1.0,1.0,249.0,6.732308387756348,0.8227952122688293,29,1566899.0429999996,5169604.8846,original_211
pasture,1,train,0.0491775013506412,0.0725112482905387,0.08228749781847,0.250986248254776,0.1857562512159347,0.1225474998354911,0.0216224994510412,0.0439524985849857,0.0431274995207786,0.1129224970936775,0.1063499972224235,0.0874850004911422,0.343847781419754,0.1269288808107376,96.45930480957033,0.5061867237091064,-0.0565286464989185,0.0,1.0,190.0,0.9274099469184875,1.0,30,1568936.9118999997,5172824.9129,original_211
pasture,1,valid,0.0476099997758865,0.0784924998879432,0.106734998524189,0.3503299951553345,0.2222625017166137,0.1098150014877319,0.0496724992990493,0.0694312527775764,0.0625424981117248,0.1835012435913086,0.146417498588562,0.1201824992895126,0.522693932056427,0.2085022628307342,193.7320709228516,0.5329548120498657,-0.0948396548628807,1.0,1.0,201.0,10.174179077148438,0.9922117590904236,31,1567448.2862999998,5172207.9172,original_211
pasture,1,valid,0.0519549995660781,0.0888049975037574,0.1174874976277351,0.3651250004768371,0.2661249935626983,0.1393499970436096,0.052216250449419,0.068496249616146,0.0638212487101554,0.1660387516021728,0.1509962528944015,0.1263149976730346,0.4475444853305816,0.1358756273984909,191.20925903320312,0.5131186842918396,-0.0417981930077075,1.0,1.0,202.0,10.174179077148438,0.9922117590904236,32,1567410.8245,5172193.1161,original_211
pasture,1,train,0.0336537510156631,0.0682212486863136,0.0657875016331672,0.4276599884033203,0.2035900056362152,0.1026787534356117,0.0610025003552436,0.0891074985265731,0.1033525019884109,0.2642275094985962,0.2417324930429458,0.1522199958562851,0.6127805113792419,0.2689594626426697,223.3614501953125,0.7333556413650513,-0.2626776397228241,1.0,1.0,428.0,5.283292293548584,0.8752692937850952,33,1569539.2854000004,5170047.0699,original_211
