SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,point_id,lon,lat,FuelClass,class_id,split,yellow_index,NDVI_spring
0.04122999999999999,0.0749725,0.062460000000000016,0.40131500000000003,0.24759000000000003,0.13074249999999998,0,172.5869369,-43.618966,pasture,1,train,0.027486250000000018,0.7306452482345965
0.038644999999999985,0.07986749999999998,0.079345,0.38657500000000006,0.187365,0.09427750000000001,1,172.6252916,-43.5879334,pasture,1,valid,0.040961250000000005,0.6594050480769231
0.02552750000000001,0.046125,0.03757250000000001,0.3523375,0.15109250000000002,0.06765749999999998,2,172.5837233,-43.6199801,pasture,1,train,0.016321249999999995,0.8072760380600651
0.050167499999999976,0.08558749999999998,0.06977499999999998,0.418475,0.28724500000000003,0.14306249999999998,3,172.5837031,-43.6227192,pasture,1,train,0.027513750000000003,0.7141833077316949
0.0328425,0.05467749999999999,0.05316500000000002,0.21687250000000002,0.1551075,0.09710999999999997,4,172.6468867,-43.6018151,pasture,1,train,0.021078750000000007,0.6062398740915613
0.038067500000000004,0.06468750000000001,0.056327499999999975,0.2840275,0.20073000000000002,0.1069,5,172.5860808,-43.6132603,pasture,1,train,0.022439999999999988,0.6690073599623924
0.0446675,0.0750825,0.059655000000000014,0.398565,0.24725999999999998,0.13085249999999998,6,172.6012509,-43.5969511,pasture,1,train,0.022701250000000006,0.7396228885688096
0.04340250000000001,0.07928999999999997,0.05261500000000002,0.4697075,0.2364525,0.1112725,7,172.6215927,-43.5841222,pasture,1,valid,0.022549999999999987,0.798534430356724
0.030615000000000003,0.05685000000000001,0.04222000000000001,0.3423,0.1604425,0.08085750000000003,8,172.602462,-43.6080527,pasture,1,valid,0.018920000000000006,0.7804015395818164
0.03966249999999999,0.07219500000000001,0.06908750000000002,0.333555,0.22943999999999998,0.115535,9,172.578001,-43.6344121,pasture,1,valid,0.030978750000000027,0.6568295696554635
0.04986499999999999,0.08407500000000001,0.0782175,0.40997750000000005,0.29766750000000003,0.15513500000000002,10,172.6033965,-43.6042392,pasture,1,train,0.03128125000000001,0.6795645182765084
0.0382325,0.057867500000000016,0.050470000000000015,0.24814000000000003,0.1861275,0.09854000000000002,11,172.603822,-43.6011332,pasture,1,train,0.015936250000000013,0.6619671142962392
0.05456749999999999,0.10293999999999998,0.09719250000000001,0.476995,0.36047750000000006,0.1852475,12,172.5914678,-43.6254376,pasture,1,valid,0.045498750000000004,0.661460759769239
0.031962500000000005,0.05431999999999998,0.050277499999999975,0.31741250000000004,0.18830000000000002,0.091775,13,172.6397328,-43.6095819,pasture,1,train,0.020336249999999972,0.7265223421904323
0.02134749999999999,0.05748249999999999,0.058362499999999984,0.2635125,0.11152000000000001,0.05418250000000002,14,172.6205893,-43.6195102,pasture,1,valid,0.036574999999999996,0.637359223300971
0.05429250000000002,0.0960375,0.08157249999999999,0.4907725,0.32434250000000003,0.1718825,15,172.5989289,-43.6004307,pasture,1,train,0.034512499999999974,0.7149533934951822
0.03803999999999999,0.06509999999999999,0.04821500000000001,0.37788499999999997,0.18145250000000002,0.09699999999999998,16,172.6172221,-43.5974281,pasture,1,train,0.01861750000000001,0.7736916216850505
0.028414999999999996,0.0539075,0.04340250000000001,0.2238575,0.1553275,0.07953749999999998,17,172.5764794,-43.6275327,pasture,1,train,0.020240000000000008,0.6752039212751627
